id_orden,id_cliente,fecha_orden,total
1,5,"2025-01-01 10:00:00",21.00
2,12,"2025-01-02 11:15:00",12.00
3,7,"2025-01-03 12:30:00",24.00
4,20,"2025-01-04 13:45:00",20.00
5,3,"2025-01-05 14:00:00",7.00
6,42,"2025-01-06 15:10:00",23.00
7,18,"2025-01-07 16:20:00",14.50
8,31,"2025-01-08 17:30:00",13.50
9,50,"2025-01-09 09:45:00",32.00
10,25,"2025-01-10 10:50:00",22.00
11,8,"2025-01-11 11:05:00",14.00
12,3,"2025-01-12 12:15:00",22.00
13,17,"2025-01-13 13:25:00",6.50
14,9,"2025-01-14 14:35:00",6.50
15,60,"2025-01-15 15:45:00",32.00
16,44,"2025-01-16 16:50:00",6.50
17,6,"2025-01-17 09:00:00",18.00
18,2,"2025-01-18 10:10:00",6.00
19,12,"2025-01-19 11:20:00",13.00
20,30,"2025-01-20 12:30:00",7.00
21,11,"2025-01-21 13:40:00",31.00
22,7,"2025-01-22 14:50:00",48.00
23,21,"2025-01-23 15:00:00",13.00
24,35,"2025-01-24 16:10:00",33.00
25,19,"2025-01-25 17:20:00",50.00
26,28,"2025-01-26 09:30:00",30.00
27,14,"2025-01-27 10:40:00",13.00
28,37,"2025-01-28 11:50:00",12.50
29,6,"2025-01-29 12:00:00",18.00
30,40,"2025-01-30 13:10:00",41.00
31,22,"2025-01-31 14:20:00",21.00
32,9,"2025-02-01 15:30:00",12.00
33,18,"2025-02-02 16:40:00",24.00
34,15,"2025-02-03 17:50:00",20.00
35,7,"2025-02-04 09:00:00",7.00
36,44,"2025-02-05 10:10:00",23.00
37,33,"2025-02-06 11:20:00",14.50
38,10,"2025-02-07 12:30:00",13.50
39,55,"2025-02-08 13:40:00",32.00
40,12,"2025-02-09 14:50:00",22.00
41,5,"2025-02-10 15:00:00",14.00
42,8,"2025-02-11 16:10:00",22.00
43,17,"2025-02-12 17:20:00",6.50
44,1,"2025-02-13 09:30:00",6.50
45,60,"2025-02-14 10:40:00",32.00
46,44,"2025-02-15 11:50:00",6.50
47,6,"2025-02-16 12:00:00",18.00
48,2,"2025-02-17 13:10:00",6.00
49,12,"2025-02-18 14:20:00",13.00
50,30,"2025-02-19 15:30:00",7.00
51,11,"2025-02-20 16:40:00",31.00
52,7,"2025-02-21 17:50:00",48.00
53,21,"2025-02-22 09:00:00",13.00
54,35,"2025-02-23 10:10:00",33.00
55,19,"2025-02-24 11:20:00",50.00
56,28,"2025-02-25 12:30:00",30.00
57,14,"2025-02-26 13:40:00",13.00
58,37,"2025-02-27 14:50:00",12.50
59,6,"2025-02-28 15:00:00",18.00
60,40,"2025-03-01 16:10:00",41.00
61,23,"2025-03-02 17:20:00",21.00
62,16,"2025-03-03 09:30:00",12.00
63,38,"2025-03-04 10:40:00",24.00
64,9,"2025-03-05 11:50:00",20.00
65,51,"2025-03-06 12:00:00",7.00
66,41,"2025-03-07 13:10:00",23.00
67,36,"2025-03-08 14:20:00",14.50
68,15,"2025-03-09 15:30:00",13.50
69,58,"2025-03-10 16:40:00",32.00
70,20,"2025-03-11 17:50:00",22.00
71,7,"2025-03-12 09:00:00",14.00
72,34,"2025-03-13 10:10:00",22.00
73,10,"2025-03-14 11:20:00",6.50
74,5,"2025-03-15 12:30:00",6.50
75,19,"2025-03-16 13:40:00",32.00
76,46,"2025-03-17 14:50:00",6.50
77,3,"2025-03-18 15:00:00",18.00
78,9,"2025-03-19 16:10:00",6.00
79,11,"2025-03-20 17:20:00",13.00
80,38,"2025-03-21 09:30:00",7.00
81,25,"2025-03-22 10:40:00",31.00
82,8,"2025-03-23 11:50:00",48.00
83,21,"2025-03-24 12:00:00",13.00
84,35,"2025-03-25 13:10:00",33.00
85,19,"2025-03-26 14:20:00",50.00
86,28,"2025-03-27 15:30:00",30.00
87,14,"2025-03-28 16:40:00",13.00
88,37,"2025-03-29 17:50:00",12.50
89,6,"2025-03-30 09:00:00",18.00
90,40,"2025-03-31 10:10:00",41.00
91,22,"2025-04-01 11:20:00",21.00
92,16,"2025-04-02 12:30:00",12.00
93,38,"2025-04-03 13:40:00",24.00
94,12,"2025-04-04 14:50:00",40.00
95,51,"2025-04-05 15:00:00",7.00
96,41,"2025-04-06 16:10:00",69.00
97,36,"2025-04-07 17:20:00",14.50
98,15,"2025-04-08 09:30:00",13.50
99,58,"2025-04-09 10:40:00",32.00
100,20,"2025-04-10 11:50:00",22.00
101,7,"2025-04-11 12:00:00",28.00
102,34,"2025-04-12 13:10:00",22.00
103,10,"2025-04-13 14:20:00",24.00
104,5,"2025-04-14 15:30:00",40.00
105,19,"2025-04-15 16:40:00",7.00
106,28,"2025-04-16 17:50:00",69.00
107,14,"2025-04-17 09:00:00",14.50
108,37,"2025-04-18 10:10:00",13.50
109,6,"2025-04-19 11:20:00",32.00
110,40,"2025-04-20 12:30:00",22.00
111,22,"2025-04-21 13:40:00",28.00
112,16,"2025-04-22 14:50:00",22.00
113,38,"2025-04-23 15:00:00",6.50
114,12,"2025-04-24 16:10:00",6.50
115,51,"2025-04-25 17:20:00",32.00
